year,year2014,year2015
"2014-09-23",34,70
"2014-09-24",48,79
"2014-09-25",95,75
"2014-09-26",92,76
"2014-09-27",71,47
"2014-09-28",66,35
"2014-09-29",72,60
"2014-09-30",53,88
"2014-10-01",53,114
"2014-10-02",124,85
"2014-10-03",84,57
"2014-10-04",71,72
"2014-10-05",74,75
"2014-10-06",73,50
"2014-10-07",75,104
"2014-10-08",65,85
"2014-10-09",73,83
"2014-10-10",85,109
"2014-10-11",77,132
"2014-10-12",70,133
"2014-10-13",70,79
"2014-10-14",70,85
"2014-10-15",128,67
"2014-10-16",135,89
"2014-10-17",58,84
"2014-10-18",54,73
"2014-10-19",64,90
"2014-10-20",114,114
"2014-10-21",82,73
"2014-10-22",62,64
"2014-10-23",67,63
"2014-10-24",74,78
"2014-10-25",76,100
"2014-10-26",84,93
"2014-10-27",65,63
"2014-10-28",53,48
"2014-10-29",72,47
"2014-10-30",79,68
"2014-10-31",95,156
"2014-11-01",93,119
"2014-11-02",78,69
"2014-11-03",63,73
"2014-11-04",63,43
"2014-11-05",69,65
"2014-11-06",178,120
"2014-11-07",59,112
"2014-11-08",48,77
"2014-11-09",53,54
"2014-11-10",84,102
"2014-11-11",90,75
"2014-11-12",166,165
"2014-11-13",67,148
"2014-11-14",102,102
"2014-11-15",68,53
"2014-11-16",90,46
"2014-11-17",153,68
"2014-11-18",82,79
"2014-11-19",73,67
"2014-11-20",72,57
"2014-11-22",95,59
"2014-11-23",54,35
"2014-11-24",52,46
"2014-11-25",51,69
"2014-11-26",75,85
"2014-11-27",64,112
"2014-11-28",82,110
"2014-11-29",59,179
"2014-12-01",90,88
"2014-12-02",75,107
"2014-12-03",93,96
"2014-12-04",110,79
"2014-12-05",100,103
"2014-12-06",110,135
"2014-12-07",107,108
"2014-12-08",125,78
"2014-12-09",63,101
"2014-12-10",95,74
"2014-12-11",99,103
"2014-12-12",98,79
"2014-12-13",95,85
"2014-12-14",110,196
"2014-12-15",109,266
"2014-12-16",107,92
"2014-12-17",81,58
"2014-12-18",95,90
"2014-12-19",106,80
"2014-12-20",72,92
"2014-12-21",89,179
"2014-12-22",102,119
"2014-12-23",88,238
"2014-12-24",179,77
"2014-12-25",50,229
"2014-12-26",59,144
"2014-12-27",63,92
"2014-12-28",101,53
"2014-12-29",192,83
"2014-12-30",170,122
"2014-12-31",135,175
"2015-01-01",63,79
