year,year2014,year2015
"2014-09-24",80,86
"2014-09-25",95,60
"2014-09-26",148,55
"2014-09-27",76,69
"2014-09-28",119,68
"2014-09-29",110,88
"2014-09-30",99,78
"2014-10-01",80,52
"2014-10-02",95,51
"2014-10-03",60,30
"2014-10-04",81,44
"2014-10-05",99,68
"2014-10-06",93,52
"2014-10-07",106,49
"2014-10-08",102,46
"2014-10-09",88,38
"2014-10-10",75,49
"2014-10-11",82,88
"2014-10-12",70,102
"2014-10-13",75,131
"2014-10-14",127,119
"2014-10-15",118,101
"2014-10-16",109,93
"2014-10-17",142,82
"2014-10-18",134,83
"2014-10-19",125,75
"2014-10-20",83,67
"2014-10-21",72,70
"2014-10-22",64,73
"2014-10-23",70,80
"2014-10-24",100,70
"2014-10-25",118,65
"2014-10-26",117,77
"2014-10-27",92,84
"2014-10-28",133,61
"2014-10-29",110,67
"2014-10-30",92,41
"2014-10-31",103,33
"2014-11-01",120,51
"2014-11-02",64,70
"2014-11-03",62,83
"2014-11-04",62,84
"2014-11-05",93,72
"2014-11-06",60,73
"2014-11-07",52,63
"2014-11-08",40,56
"2014-11-09",47,47
"2014-11-10",48,67
"2014-11-11",44,71
"2014-11-12",39,39
"2014-11-13",69,64
"2014-11-14",68,64
"2014-11-15",74,62
"2014-11-16",75,60
"2014-11-17",70,94
"2014-11-18",77,85
"2014-11-19",87,79
"2014-11-20",97,72
"2014-11-22",108,51
"2014-11-23",85,45
"2014-11-24",78,68
"2014-11-25",74,55
"2014-11-26",98,37
"2014-11-27",85,57
"2014-11-28",79,84
"2014-11-29",72,95
"2014-12-01",36,64
"2014-12-02",83,85
"2014-12-03",72,78
"2014-12-04",30,44
"2014-12-05",54,44
"2014-12-06",70,50
"2014-12-07",60,33
"2014-12-08",54,40
"2014-12-09",78,52
"2014-12-10",92,53
"2014-12-11",79,53
"2014-12-12",62,52
"2014-12-13",69,69
"2014-12-14",80,90
"2014-12-15",107,47
"2014-12-16",73,43
"2014-12-17",53,69
"2014-12-18",55,48
"2014-12-19",92,68
"2014-12-20",77,101
"2014-12-21",72,105
"2014-12-22",88,115
"2014-12-23",92,166
"2014-12-24",108,162
"2014-12-25",144,78
"2014-12-26",114,44
"2014-12-27",77,52
"2014-12-28",57,54
"2014-12-29",84,49
"2014-12-30",114,72
"2014-12-31",109,57
"2015-01-01",68,70
