year,year2014,year2015
"2014-09-23",33,72
"2014-09-24",56,101
"2014-09-25",98,110
"2014-09-26",106,57
"2014-09-27",123,31
"2014-09-28",110,44
"2014-09-29",74,58
"2014-09-30",55,84
"2014-10-01",63,84
"2014-10-02",80,77
"2014-10-03",112,48
"2014-10-04",90,57
"2014-10-05",85,63
"2014-10-06",96,50
"2014-10-07",85,58
"2014-10-08",78,67
"2014-10-09",87,90
"2014-10-10",72,103
"2014-10-11",72,121
"2014-10-12",84,135
"2014-10-13",66,143
"2014-10-14",81,127
"2014-10-15",115,77
"2014-10-16",132,85
"2014-10-17",148,90
"2014-10-18",77,89
"2014-10-19",73,70
"2014-10-20",93,92
"2014-10-21",107,105
"2014-10-22",99,84
"2014-10-23",129,64
"2014-10-24",92,87
"2014-10-25",95,63
"2014-10-26",104,104
"2014-10-27",117,87
"2014-10-28",67,63
"2014-10-29",83,62
"2014-10-30",92,68
"2014-10-31",73,80
"2014-11-01",62,147
"2014-11-02",84,124
"2014-11-03",70,84
"2014-11-04",70,69
"2014-11-05",122,54
"2014-11-06",98,52
"2014-11-07",97,57
"2014-11-08",64,89
"2014-11-09",72,83
"2014-11-10",127,84
"2014-11-11",145,62
"2014-11-12",175,94
"2014-11-13",92,130
"2014-11-14",105,98
"2014-11-15",107,77
"2014-11-16",140,60
"2014-11-17",144,78
"2014-11-18",115,83
"2014-11-19",140,84
"2014-11-20",135,77
"2014-11-22",155,59
"2014-11-23",173,58
"2014-11-24",112,39
"2014-11-25",55,52
"2014-11-26",84,75
"2014-11-27",89,98
"2014-11-28",83,90
"2014-11-29",114,87
"2014-12-01",94,148
"2014-12-02",88,90
"2014-12-03",112,69
"2014-12-04",74,65
"2014-12-05",70,89
"2014-12-06",101,73
"2014-12-07",115,119
"2014-12-08",152,112
"2014-12-09",99,97
"2014-12-10",79,87
"2014-12-11",143,195
"2014-12-12",114,137
"2014-12-13",81,118
"2014-12-14",117,138
"2014-12-15",143,207
"2014-12-16",97,79
"2014-12-17",69,56
"2014-12-18",99,95
"2014-12-19",127,129
"2014-12-20",103,132
"2014-12-21",94,145
"2014-12-22",94,195
"2014-12-23",125,283
"2014-12-24",143,122
"2014-12-25",132,114
"2014-12-26",69,63
"2014-12-27",90,109
"2014-12-28",124,77
"2014-12-29",108,112
"2014-12-30",95,140
"2014-12-31",102,213
"2015-01-01",70,188
