year,year2014,year2015
"2014-09-23",83,110
"2014-09-24",103,117
"2014-09-25",104,173
"2014-09-26",140,200
"2014-09-27",170,100
"2014-09-28",55,76
"2014-09-29",75,127
"2014-09-30",71,113
"2014-10-01",93,120
"2014-10-02",92,97
"2014-10-03",186,86
"2014-10-04",200,127
"2014-10-05",217,69
"2014-10-06",99,69
"2014-10-07",193,58
"2014-10-08",242,69
"2014-10-09",227,79
"2014-10-10",156,99
"2014-10-11",210,131
"2014-10-12",67,118
"2014-10-13",81,97
"2014-10-14",97,140
"2014-10-15",85,172
"2014-10-16",93,227
"2014-10-17",120,91
"2014-10-18",130,148
"2014-10-19",162,225
"2014-10-20",214,81
"2014-10-21",189,94
"2014-10-22",193,129
"2014-10-23",182,62
"2014-10-24",135,55
"2014-10-25",109,74
"2014-10-26",149,100
"2014-10-27",71,80
"2014-10-28",100,88
"2014-10-29",107,151
"2014-10-30",192,72
"2014-10-31",238,93
"2014-11-01",88,113
"2014-11-02",79,166
"2014-11-03",83,264
"2014-11-04",109,42
"2014-11-05",150,53
"2014-11-06",122,74
"2014-11-07",82,135
"2014-11-08",115,119
"2014-11-09",193,178
"2014-11-10",158,204
"2014-11-11",127,168
"2014-11-12",56,152
"2014-11-13",78,108
"2014-11-14",145,83
"2014-11-15",190,82
"2014-11-16",148,55
"2014-11-17",203,109
"2014-11-18",198,103
"2014-11-19",169,61
"2014-11-20",257,50
"2014-11-22",424,49
"2014-11-23",280,51
"2014-11-24",238,94
"2014-11-25",205,137
"2014-11-26",178,212
"2014-11-27",203,240
"2014-11-28",158,178
"2014-11-29",127,439
"2014-12-01",90,244
"2014-12-02",112,121
"2014-12-03",136,70
"2014-12-04",72,88
"2014-12-05",102,144
"2014-12-06",227,210
"2014-12-07",121,322
"2014-12-08",211,317
"2014-12-09",138,336
"2014-12-10",99,411
"2014-12-11",93,166
"2014-12-12",86,88
"2014-12-13",105,183
"2014-12-14",192,82
"2014-12-15",177,56
"2014-12-16",74,42
"2014-12-17",95,80
"2014-12-18",161,135
"2014-12-19",137,228
"2014-12-20",129,254
"2014-12-21",73,289
"2014-12-22",94,230
"2014-12-23",199,328
"2014-12-24",222,320
"2014-12-25",165,89
"2014-12-26",196,134
"2014-12-27",276,79
"2014-12-28",152,182
"2014-12-29",169,226
"2014-12-30",140,162
"2014-12-31",104,180
"2015-01-01",92,210
